id,title,artist,playlists,filesize,length,file,artwork
0149,Breathtaking,Purrple Cat ,4,8450081,192.20898,lofi/0149.mp3,116
0150,Lazy Afternoon,Purrple Cat ,4,4813196,120.241633,lofi/0150.mp3,71
0151,Serendipity,Purrple Cat,4,6742072,168.463673,lofi/0151.mp3,71
0152,Back Home,Ghostrifter Official,4,6341685,158.537125,lofi/0152.mp3,85
0153,Afternoon Nap,Ghostrifter Official,4,2053517,128.052245,lofi/0153.mp3,19
0154,In The Past,Purrple Cat,4,6575933,164.310204,lofi/0154.mp3,71
0155,Wonderment,Purrple Cat,4,7273923,181.76,lofi/0155.mp3,71
0156,Glowing Tides,Purrple Cat,4,13246379,208.509388,lofi/0156.mp3,31
0157,Crying Sky,Purrple Cat,4,8953830,223.712653,lofi/0157.mp3,8
0158,Hot Coffee,Ghostrifter Official,4,5561149,139.023675,lofi/0158.mp3,106
0159,Strawberry Lemonade,Purrple Cat,4,1876632,156.348,lofi/0159.mp3,77
0160,Dream Machine,Purrple Cat,4,5897845,147.36,lofi/0160.mp3,71
0161,Sand Castles,Purrple Cat,4,6055291,151.356675,lofi/0161.mp3,29
0162,Owlets,Purrple Cat & Prithvi,4,5312798,132.754286,lofi/0162.mp3,80
0163,Steadfast Boots,Artificial Music,4,5207852,216.821625,lofi/0163.mp3,111
0164,Thunder Nap,Purrple Cat,4,6430889,160.365714,lofi/0164.mp3,70
0165,Spring,Sakura Girl,4,6775240,169.27665,lofi/0165.mp3,25
0166,Nightfall,Purrple Cat,4,5872558,146.782041,lofi/0166.mp3,31
0167,Message From Home,Purrple Cat,4,7993568,199.706122,lofi/0167.mp3,59
0168,Stranded,Purrple Cat,4,8649764,216.11102,lofi/0168.mp3,90
0169,Distant Ships,Purrple Cat,4,7017770,175.412245,lofi/0169.mp3,31
0170,Celestial Sands,Purrple Cat,4,11797106,172.277551,lofi/0170.mp3,31
0171,Luminous,Purrple Cat,4,10969546,151.588571,lofi/0171.mp3,31
0172,Bubble Wand,Purrple Cat,4,2407985,200.628,lofi/0172.mp3,77
0173,Skyline Mirage,Artificial Music,4,7952021,198.672,lofi/0173.mp3,96
0174,Butterfly,Purrple Cat,3,1864095,155.304,lofi/0174.mp3,77
0175,Sunshine Boulevard,Purrple Cat,3,1829976,152.46,lofi/0175.mp3,77
0176,Soon We'll Fly,Ghostrifter Official,1,10597713,264.907755,lofi/0176.mp3,97
0177,Star Bright,Purrple Cat ,1,6075286,149.603265,lofi/0177.mp3,4
0178,Waiting,Ghostrifter Official,1,8133625,203.337125,lofi/0178.mp3,63
0179,Mellow Out,Ghostrifter Official,1,7682232,192.052225,lofi/0179.mp3,87
0180,Earl Grey,Purrple Cat,3,2203646,183.6,lofi/0180.mp3,77
0181,Simplicit Nights,Ghostrifter Official,1,5976133,149.368163,lofi/0181.mp3,83
0182,Flourish,Purrple Cat,1,6284123,157.077475,lofi/0182.mp3,28
0183,Time To Think,Purrple Cat,1,7271694,179.513469,lofi/0183.mp3,4
0184,Pillars Of Creation,Purrple Cat,3,4632750,149.832,lofi/0184.mp3,45
0185,Calm And Sleeping Lo-Fi Hip Hop,Alex Productions,1,6208421,258.50775,lofi/0185.mp3,94
0186,Spring Showers,Purrple Cat,1,7284091,182.076675,lofi/0186.mp3,28
0187,Bloom,Purrple Cat,1,6043797,151.069325,lofi/0187.mp3,28
0188,Anomaly,Purrple Cat,3,7446042,186.017959,lofi/0188.mp3,59
